backend,model,complexity,precision,seed,epochs,first_epoch_time,median_epoch_time
torch,cnn,simple,mixed_fp16,44,100,3.6638,2.484
torch,cnn,simple,mixed_bf16,44,100,3.1229,2.4646
torch,lstm,simple,fp32,44,100,0.9988,0.6732
torch,lstm,simple,fp16,44,100,1.1457,0.7508
torch,lstm,simple,bf16,44,100,11.5966,10.8692
torch,lstm,simple,mixed_fp16,44,100,1.2109,0.9226
torch,lstm,simple,mixed_bf16,44,100,1.3855,0.8963
jax-keras,mlp,simple,fp32,44,100,5.5616,1.1941
jax-keras,mlp,simple,fp16,44,100,5.4644,1.1379
jax-keras,mlp,simple,bf16,44,100,5.5239,1.3122
jax-keras,mlp,simple,mixed_fp16,44,100,5.9449,1.399
jax-keras,mlp,simple,mixed_bf16,44,100,5.8322,1.4266
jax-keras,cnn,simple,fp32,44,100,7.1182,1.9674
jax-keras,cnn,simple,fp16,44,100,6.5226,2.0352
jax-keras,cnn,simple,bf16,44,100,6.2251,1.9523
jax-keras,cnn,simple,mixed_fp16,44,100,7.5792,2.2697
jax-keras,cnn,simple,mixed_bf16,44,100,6.3904,1.9961
jax-keras,lstm,simple,fp32,44,100,8.0482,3.0752
jax-keras,lstm,simple,mixed_fp16,44,100,8.9436,2.8252
jax-keras,lstm,simple,mixed_bf16,44,100,8.786,3.0816
torch-keras,mlp,complex,fp32,44,100,9.7744,7.9629
torch-keras,mlp,complex,fp16,44,100,9.1779,8.3206
torch-keras,mlp,complex,bf16,44,100,9.292,8.6164
torch-keras,mlp,complex,mixed_fp16,44,100,12.2278,11.0927
torch-keras,mlp,complex,mixed_bf16,44,100,10.0368,9.0839
torch-keras,cnn,complex,fp32,44,100,40.8273,38.7724
torch-keras,cnn,complex,fp16,44,100,45.3006,43.002
torch-keras,cnn,complex,bf16,44,100,46.1818,42.366
torch-keras,lstm,complex,fp32,44,100,62.3765,59.9961
torch-keras,lstm,complex,mixed_fp16,44,100,75.4281,74.5117
torch-keras,lstm,complex,mixed_bf16,44,100,72.9349,69.624
jax-keras,mlp,complex,fp32,44,100,18.2691,1.5842
jax-keras,mlp,complex,fp16,44,100,13.6939,1.5392
jax-keras,mlp,complex,bf16,44,100,14.2876,1.6719
jax-keras,mlp,complex,mixed_fp16,44,100,14.3044,1.828
jax-keras,mlp,complex,mixed_bf16,44,100,13.6906,1.4562
jax-keras,cnn,complex,fp32,44,100,19.1324,5.2527
jax-keras,cnn,complex,fp16,44,100,18.9117,4.4812
jax-keras,cnn,complex,bf16,44,100,20.8215,4.9417
jax-keras,cnn,complex,mixed_fp16,44,100,21.2077,5.3147
jax-keras,cnn,complex,mixed_bf16,44,100,19.2327,4.6588
jax-keras,lstm,complex,fp32,44,100,25.238,6.4189
jax-keras,lstm,complex,mixed_fp16,44,100,24.6992,5.6117
jax-keras,lstm,complex,mixed_bf16,44,100,23.4713,5.792
torch,mlp,complex,fp32,44,100,3.9217,3.069
torch,mlp,complex,fp16,44,100,3.9112,3.0563
torch,mlp,complex,bf16,44,100,3.5924,3.0199
